date,region_id,surface_temp_c,ndvi,rainfall_mm_7d,soil_moisture_pct,cloud_cover_pct,evapotranspiration_mm,drought_risk
2025-01-01,R01,27.47,0.7499,7.272,34.657,31.462,8.456,1
2025-01-02,R01,27.646,0.8854,4.287,27.879,48.669,8.764,1
2025-01-03,R01,25.546,0.6844,9.606,34.109,39.85,7.979,1
2025-01-04,R01,27.002,0.7404,6.121,33.475,47.884,8.834,1
2025-01-05,R01,23.937,0.8224,3.755,27.569,47.751,9.004,1
2025-01-06,R01,24.481,0.7774,5.871,28.021,49.162,7.122,1
2025-01-07,R01,29.82,0.6828,8.13,32.97,59.609,9.956,1
2025-01-08,R01,22.903,0.7816,20.348,41.006,63.717,7.379,0
2025-01-09,R01,23.042,0.7361,14.073,40.366,51.365,8.684,1
2025-01-10,R01,25.462,0.7742,2.189,30.525,74.986,6.748,1
2025-01-11,R01,25.644,0.7136,4.347,37.136,59.639,8.435,1
2025-01-12,R01,27.673,0.7176,4.239,30.486,65.131,8.457,1
2025-01-13,R01,28.654,0.7307,4.249,28.45,40.082,10.575,1
2025-01-14,R01,24.248,0.7993,2.876,29.551,80.648,6.541,1
2025-01-15,R01,25.092,0.8469,23.38,41.769,55.607,7.796,1
2025-01-16,R01,28.634,0.7222,0.262,24.442,67.612,7.083,1
2025-01-17,R01,23.974,0.7576,8.377,34.903,89.406,5.777,1
2025-01-18,R01,28.723,0.7274,7.999,26.499,60.572,7.936,1
2025-01-19,R01,26.083,0.7751,5.286,25.396,32.51,9.645,1
2025-01-20,R01,26.977,0.7786,13.756,38.532,74.963,6.952,1
2025-01-21,R01,27.474,0.7022,10.771,36.482,36.266,8.681,1
2025-01-22,R01,27.304,0.7447,10.718,35.78,74.662,7.146,1
2025-01-23,R01,25.123,0.8733,13.149,35.844,74.168,5.711,1
2025-01-24,R01,25.304,0.7582,3.503,33.289,43.132,9.034,1
2025-01-25,R01,28.815,0.8155,12.735,33.081,50.446,9.721,1
2025-01-26,R01,29.401,0.8051,5.549,24.165,50.752,10.089,1
2025-01-27,R01,28.558,0.8193,2.317,31.537,10.267,11.074,1
2025-01-28,R01,24.912,0.6799,14.644,29.505,51.455,6.811,1
2025-01-29,R01,27.788,0.7601,2.018,28.973,55.849,9.169,1
2025-01-30,R01,28.6,0.7488,4.311,26.35,57.42,8.184,1
2025-01-31,R01,26.851,0.7472,14.653,33.256,59.976,6.364,1
2025-02-01,R01,26.83,0.8347,1.209,26.457,54.896,8.614,1
2025-02-02,R01,26.474,0.6665,21.171,39.391,35.962,8.863,1
2025-02-03,R01,28.26,0.7535,2.308,33.878,33.322,9.364,1
2025-02-04,R01,31.198,0.6921,4.495,27.578,52.762,11.222,1
2025-02-05,R01,27.305,0.7602,3.625,29.711,30.687,8.542,1
2025-02-06,R01,29.5,0.7518,25.296,38.405,63.812,8.471,1
2025-02-07,R01,28.134,0.8356,7.318,33.583,84.312,6.893,1
2025-02-08,R01,26.05,0.7935,14.605,32.701,75.382,5.509,1
2025-02-09,R01,29.471,0.746,4.008,25.659,60.474,7.852,1
2025-02-10,R01,29.953,0.6366,6.485,30.179,29.776,9.941,1
2025-02-11,R01,29.328,0.7797,16.002,34.793,77.058,6.894,1
2025-02-12,R01,27.129,0.7825,3.854,27.465,31.537,8.246,1
2025-02-13,R01,26.281,0.7234,4.566,32.189,26.755,9.037,1
2025-02-14,R01,26.355,0.7945,7.195,32.494,26.988,9.07,1
