date,region_id,surface_temp_c,ndvi,rainfall_mm_7d,soil_moisture_pct,cloud_cover_pct,evapotranspiration_mm,drought_risk
2025-01-01,R01,32.061,0.2438,2.934,23.056,37.726,9.9,1
2025-01-02,R01,28.015,0.2908,2.584,27.851,15.265,10.693,1
2025-01-03,R01,32.827,0.1405,7.734,27.954,73.718,7.649,1
2025-01-04,R01,34.74,0.275,7.525,24.445,35.816,11.628,1
2025-01-05,R01,31.86,0.3332,6.29,21.171,43.211,10.209,1
2025-01-06,R01,29.302,0.1809,24.779,31.399,47.869,8.571,1
2025-01-07,R01,32.477,0.2249,12.458,29.979,63.603,8.725,1
2025-01-08,R01,32.389,0.1719,2.013,24.395,44.964,10.226,1
2025-01-09,R01,32.615,0.2767,27.62,35.068,48.42,10.12,1
2025-01-10,R01,32.016,0.2396,6.469,24.496,56.062,10.621,1
2025-01-11,R01,35.156,0.1242,2.636,24.173,40.788,11.329,1
2025-01-12,R01,37.832,0.2221,4.161,19.262,55.44,9.606,1
2025-01-13,R01,30.19,0.1799,13.224,39.115,70.818,8.033,1
2025-01-14,R01,33.933,0.1667,1.883,28.108,23.994,11.686,1
2025-01-15,R01,32.965,0.2495,13.109,27.939,100,7.054,1
2025-01-16,R01,33.731,0.0668,18.733,30.869,32.152,11.762,1
2025-01-17,R01,31.83,0.1118,14.378,28.09,64.538,7.969,1
2025-01-18,R01,33.52,0.2348,3.848,24.102,45.871,10.094,1
2025-01-19,R01,33.395,0.2572,18.616,33.47,50.097,8.79,1
2025-01-20,R01,31.427,0.1518,8.872,22.188,79.737,8.768,1
2025-01-21,R01,35.937,0.1424,11.528,22.164,47.138,11.579,1
2025-01-22,R01,32.2,0.1142,9.059,30.128,64.735,9.603,1
2025-01-23,R01,32.793,0.2221,2.259,25.689,11.939,9.45,1
2025-01-24,R01,33.535,0.2693,18.921,30.034,89.074,7.371,1
2025-01-25,R01,34.919,0.1545,12.189,25.325,62.082,10.124,1
2025-01-26,R01,35.27,0.1498,11.333,25.203,67.234,9.206,1
2025-01-27,R01,35.208,0.1555,3.441,20.478,39.822,10.535,1
2025-01-28,R01,35.734,0.1994,3.724,21.23,77.548,9.252,1
2025-01-29,R01,35.729,0.1118,18.024,27.347,85.054,8.791,1
2025-01-30,R01,33.611,0.198,1.435,21.294,51.68,9.133,1
2025-01-31,R01,34.146,0.1029,12.063,30.969,59.621,10.447,1
2025-02-01,R01,34.364,0.0688,5.695,24.582,63.904,10.879,1
2025-02-02,R01,37.318,0.1382,9.433,23.725,27.355,12.228,1
2025-02-03,R01,33.315,0.295,6.182,28.645,63.738,7.637,1
2025-02-04,R01,35.232,0.2086,3.603,21.228,39.053,10.419,1
2025-02-05,R01,35.985,0.2621,3.247,26.372,34.838,10.888,1
2025-02-06,R01,36.216,0.1005,16.514,26.797,50.041,11.713,1
2025-02-07,R01,35.531,0.24,5.97,24.331,51.658,10.587,1
2025-02-08,R01,34.889,0.0714,2.533,21.136,46.099,10.802,1
2025-02-09,R01,33.644,0.2745,15.729,33.073,76.017,8.19,1
2025-02-10,R01,34.277,0.2664,2.005,24.879,49.819,8.478,1
2025-02-11,R01,32.263,0.0996,2.656,27.306,71.404,7.917,1
2025-02-12,R01,36.319,0.1995,7.178,28.494,42.641,12.138,1
2025-02-13,R01,34.048,0.281,11.511,23.55,71.835,8.303,1
2025-02-14,R01,33.054,0.1976,6.583,27.276,63.552,10.209,1
2025-02-15,R01,36.086,0.0543,12.506,27.164,76.178,9.285,1
2025-02-16,R01,34.492,0.0686,3.494,26.108,57.472,7.049,1
2025-02-17,R01,35.787,0.0968,24.538,30.342,53.836,9.176,1
2025-02-18,R01,34.134,0.0889,11.182,24.74,100,7.248,1
2025-02-19,R01,36.684,0.1494,4.152,17.818,63.659,9.827,1
2025-02-20,R01,32.482,0.1404,16.725,31.695,53.448,9.712,1
2025-02-21,R01,37.425,0.1621,4.18,24.177,68.466,8.967,1
2025-02-22,R01,36.407,0.1306,3.969,21.465,30.223,11.983,1
2025-02-23,R01,33.879,0.077,9.883,23.98,24.947,11.69,1
2025-02-24,R01,35.535,0.2147,15.952,29.32,61.167,10.226,1
2025-02-25,R01,35.778,0.109,2.709,19.903,35.361,11.03,1
2025-02-26,R01,34.893,0.1943,21.891,27.008,38.221,10.99,1
2025-02-27,R01,36.328,0.1826,8.644,23.235,50.137,10.02,1
2025-02-28,R01,34.72,0.05,13.246,26.862,41.252,10.081,1
2025-03-01,R01,32.6,0.2204,10.315,25.812,33.285,10.646,1
2025-03-02,R01,34.477,0.2962,3.544,28.955,51.584,8.966,1
2025-03-03,R01,34.721,0.1946,3.859,19.87,73.944,8.601,1
2025-03-04,R01,36.962,0.2622,6.033,25.352,33.365,10.69,1
2025-03-05,R01,33.936,0.3176,9.351,26.884,55.534,9.909,1
2025-03-06,R01,35.969,0.2532,5.424,15.818,64.276,9.39,1
2025-03-07,R01,31.959,0.2254,19.552,32.075,80.163,7.715,1
2025-03-08,R01,35.229,0.2326,1.109,18.713,36.181,11.165,1
2025-03-09,R01,38.333,0.101,24.772,27.416,66.854,10.439,1
2025-03-10,R01,35.073,0.1564,1.47,27.449,19.845,11.953,1
2025-03-11,R01,36.454,0.05,2.45,25.146,37.34,10.965,1
2025-03-12,R01,35.833,0.2636,9.389,22.911,64.282,10.564,1
2025-03-13,R01,33.536,0.2891,9.172,29.088,53.919,8.725,1
2025-03-14,R01,38.58,0.061,1.744,22.499,55.658,11.087,1
2025-03-15,R01,37.185,0.1866,28.726,30.028,53.458,9.802,1
2025-03-16,R01,33.143,0.1926,13.205,29.717,34.724,10.274,1
2025-03-17,R01,35.767,0.1702,1.756,22.79,20.092,12.756,1
2025-03-18,R01,38.933,0.1183,5.957,20.991,51.696,12.048,1
2025-03-19,R01,36.371,0.1519,2.792,19.094,38.75,11.45,1
2025-03-20,R01,33.832,0.187,3.202,28.534,26.347,10.905,1
2025-03-21,R01,37.801,0.0678,21.27,29.332,42.074,11.381,1
2025-03-22,R01,35.275,0.1628,3.83,24.52,50.379,9.628,1
2025-03-23,R01,37.621,0.1137,17.97,24.617,51.381,10.898,1
2025-03-24,R01,37.12,0.0584,4.04,17.716,42.464,11.643,1
2025-03-25,R01,34.437,0.2475,15.82,30.101,62.887,8.946,1
2025-03-26,R01,37.637,0.0834,14.195,23.748,82.884,8.515,1
2025-03-27,R01,35.912,0.2022,1.742,20.473,31.789,12.193,1
2025-03-28,R01,35.757,0.1394,14.21,28.493,32.557,11.995,1
2025-03-29,R01,36.439,0.1942,0.534,18.699,48.379,10.151,1
2025-03-30,R01,35.605,0.1565,12.827,27.182,65.289,8.097,1
2025-03-31,R01,35.045,0.1454,4.192,26.75,24.792,12.612,1
2025-04-01,R01,37.272,0.1681,9.804,26.126,41.314,11.508,1
2025-04-02,R01,33.957,0.1876,29.913,32.925,79.696,8.979,1
2025-04-03,R01,36.105,0.05,8.827,24.894,77.955,9.499,1
2025-04-04,R01,36.611,0.2761,11.308,23.846,35.016,11.845,1
2025-04-05,R01,36.041,0.2015,6.283,23.137,43.057,10.453,1
2025-04-06,R01,36.445,0.2762,3.784,19.694,42.023,9.658,1
2025-04-07,R01,36.767,0.1494,2.694,20.969,85.724,8.464,1
2025-04-08,R01,35.103,0.2065,2.592,22.978,33.505,10.784,1
2025-04-09,R01,36.311,0.105,4.533,26.138,41.32,10.294,1
2025-04-10,R01,33.563,0.2865,7.6,26.186,64.699,9.882,1
2025-04-11,R01,34.569,0.2708,4.051,16.982,36.057,10.253,1
2025-04-12,R01,34.091,0.2819,12.869,26.013,59.866,10.047,1
2025-04-13,R01,36.207,0.1384,6.982,22.884,68.867,8.344,1
2025-04-14,R01,37.128,0.05,1.907,20.361,22.343,11.817,1
2025-04-15,R01,36.404,0.2085,2.819,22.536,39.731,11.459,1
2025-04-16,R01,36.425,0.1722,4.031,19.377,76.0,9.171,1
2025-04-17,R01,35.759,0.2446,1.528,18.644,41.757,11.654,1
2025-04-18,R01,36.972,0.1474,2.759,23.586,56.61,9.249,1
2025-04-19,R01,36.686,0.1772,9.398,22.552,71.787,8.616,1
2025-04-20,R01,35.802,0.1066,13.325,30.096,79.31,9.111,1
2025-04-21,R01,35.591,0.1343,1.359,19.444,26.504,10.72,1
2025-04-22,R01,35.78,0.1148,25.431,32.609,63.799,11.118,1
2025-04-23,R01,36.117,0.1627,5.432,20.747,62.767,10.298,1
2025-04-24,R01,36.884,0.1459,8.358,27.189,34.438,8.968,1
2025-04-25,R01,34.029,0.1713,5.002,25.303,50.282,10.191,1
2025-04-26,R01,37.168,0.2498,5.126,15.877,56.221,11.631,1
2025-04-27,R01,36.107,0.1821,15.137,26.699,81.487,8.537,1
2025-04-28,R01,31.839,0.1209,16.837,25.884,63.62,7.241,1
2025-04-29,R01,35.005,0.3172,25.713,29.593,84.631,9.052,1
2025-04-30,R01,34.589,0.1687,11.548,27.009,75.272,9.265,1
2025-05-01,R01,32.81,0.2974,4.795,29.882,97.362,7.865,1
2025-05-02,R01,34.659,0.0908,14.714,25.645,47.49,9.691,1
2025-05-03,R01,32.596,0.2596,5.291,29.243,69.945,9.011,1
2025-05-04,R01,36.002,0.1529,6.678,27.081,52.521,10.06,1
2025-05-05,R01,33.496,0.2724,19.686,32.719,55.205,10.761,1
2025-05-06,R01,37.909,0.2195,7.631,24.378,87.236,10.158,1
2025-05-07,R01,37.283,0.181,3.825,21.703,24.924,11.534,1
2025-05-08,R01,35.226,0.1405,7.713,20.685,62.861,10.145,1
2025-05-09,R01,32.122,0.2635,16.97,34.451,65.381,5.793,1
2025-05-10,R01,33.749,0.1358,11.516,25.212,84.159,9.451,1
2025-05-11,R01,34.12,0.1129,13.983,23.755,59.293,10.408,1
2025-05-12,R01,33.794,0.0988,11.379,27.4,100,6.614,1
2025-05-13,R01,31.318,0.2736,8.414,32.496,50.162,9.489,1
2025-05-14,R01,32.864,0.2489,0.631,20.834,32.329,10.837,1
2025-05-15,R01,30.612,0.219,23.675,35.785,70.114,8.397,1
2025-05-16,R01,34.498,0.1105,2.674,20.991,14.128,14.403,1
2025-05-17,R01,36.834,0.1763,42.875,31.993,87.384,9.288,1
2025-05-18,R01,34.563,0.2051,20.398,27.959,84.964,8.461,1
2025-05-19,R01,35.698,0.1995,7.729,25.577,36.169,10.88,1
2025-05-20,R01,34.592,0.1739,5.482,22.929,38.766,10.109,1
2025-05-21,R01,32.975,0.287,10.047,25.442,66.395,8.595,1
2025-05-22,R01,33.344,0.1642,3.618,24.429,35.327,10.741,1
2025-05-23,R01,33.685,0.2528,7.918,28.397,33.981,9.834,1
2025-05-24,R01,33.53,0.1122,16.484,30.41,70.014,9.932,1
2025-05-25,R01,31.874,0.3442,7.731,28.34,71.996,8.667,1
2025-05-26,R01,35.084,0.0849,13.792,24.749,65.697,10.784,1
2025-05-27,R01,36.414,0.1179,26.883,28.274,84.01,8.856,1
2025-05-28,R01,32.432,0.2392,2.236,27.056,57.392,9.052,1
2025-05-29,R01,36.508,0.1867,2.532,19.815,44.85,9.876,1
